0,M,L
0,H,L
600,H,L
1800,H,L
2400,H,L
2700,H,L
3000,H,L
3000,H,L
3000,H,L
3300,H,L
3900,H,L
4200,H,L
4200,M,L
4200,M,L
4200,M,L
4200,M,L
4200,M,L
4200,M,L
4500,H,L
4500,H,L
4500,H,L
4800,H,L
4800,M,L
5100,M,L
5100,M,L
5100,M,L
5400,M,L
5700,M,L
5700,M,L
5700,M,L
5700,M,L
5700,M,L
6000,H,L
6000,H,L
6000,M,L
6000,M,L
6300,H,L
6600,H,L
6600,M,L
6600,M,L
6900,H,L
7200,M,L
7200,M,L
7200,M,L
0,M,T
0,H,T
1200,H,T
1200,M,T
1800,H,T
2100,M,T
2400,M,T
2400,M,T
2700,M,T
3000,M,T
3300,M,T
3300,M,T
3300,M,T
3300,M,T
3300,M,T
3300,M,T
3300,M,T
3300,M,T
3300,M,T
3600,M,T
3600,M,T
3600,M,T
3600,M,T
3600,M,T
3600,H,T
3600,M,T
3600,M,T
4200,M,T
4200,M,T
4200,M,T
4200,M,T
4200,M,T
4500,M,T
4500,M,T
4500,M,T
4800,H,T
4800,M,T
4800,M,T
4800,M,T
4800,M,T
5100,M,T
5100,M,T
5400,M,T
5700,M,T
6000,M,T
6000,M,T
6000,M,T
6300,M,T
6300,M,T
6900,M,T
7200,M,T
7200,M,T
7200,M,T
